PRODUCTID,PRODUCTNDC,NDCPACKAGECODE,PACKAGEDESCRIPTION
70859-006_3c05aaa0-7157-196d-e054-00144ff88e88,70859-006,70859-006-01,1 kg in 1 BOTTLE (70859-006-01)
70859-007_3c065df8-ee37-53e8-e054-00144ff8d46c,70859-007,70859-007-10,100 g in 1 BOTTLE (70859-007-10)
70859-008_3c065df8-ee3a-53e8-e054-00144ff8d46c,70859-008,70859-008-10,100 g in 1 BOTTLE (70859-008-10)
70859-009_3c065df8-ee3d-53e8-e054-00144ff8d46c,70859-009,70859-009-10,100 g in 1 BOTTLE (70859-009-10)
70859-010_3c05bba2-4149-278a-e054-00144ff8d46c,70859-010,70859-010-01,1 kg in 1 BOTTLE (70859-010-01)
70859-011_3c05aaa0-7154-196d-e054-00144ff88e88,70859-011,70859-011-01,1 kg in 1 BOTTLE (70859-011-01)
70859-012_3c0614fa-ee38-46ca-e054-00144ff8d46c,70859-012,70859-012-01,1 kg in 1 BOTTLE (70859-012-01)
70859-013_3c0614fa-ee3b-46ca-e054-00144ff8d46c,70859-013,70859-013-10,100 g in 1 BOTTLE (70859-013-10)
70859-013_3c0614fa-ee3b-46ca-e054-00144ff8d46c,70859-013,70859-013-50,500 g in 1 BOTTLE (70859-013-50)
70859-025_580dce3a-c855-0a26-e053-2991aa0a5213,70859-025,70859-025-24,1 KIT in 1 KIT (70859-025-24)  *  .024 kg in 1 BOTTLE (70859-019-24)  *  .024 kg in 1 BOTTLE (70859-011-24)
70859-026_580dce3a-c85a-0a26-e053-2991aa0a5213,70859-026,70859-026-24,1 KIT in 1 KIT (70859-026-24)  *  .048 kg in 1 BOTTLE (70859-017-48)  *  .0048 kg in 1 BOTTLE (70859-018-48)  *  .024 kg in 1 BOTTLE (70859-006-24)
70864-001_388a5e98-f975-63d5-e054-00144ff8d46c,70864-001,70864-001-25,25 kg in 1 DRUM (70864-001-25)
70865-005_4706fe96-cd3c-6a85-e054-00144ff8d46c,70865-005,70865-005-06,20 g in 1 BAG (70865-005-06)
70865-005_4706fe96-cd3c-6a85-e054-00144ff8d46c,70865-005,70865-005-07,.5 g in 1 BAG (70865-005-07)
70870-1701_50d60c48-b8f5-72b9-e054-00144ff88e88,70870-1701,70870-1701-3,1 BAG in 1 DRUM (70870-1701-3)  > 25 kg in 1 BAG (70870-1701-4)
70870-1701_877439eb-e922-4368-a2a6-9330c31c24cb,70870-1701,70870-1701-1,25 kg in 1 DRUM (70870-1701-1)
70896-2023_3ab6365f-0fa2-3b54-e054-00144ff88e88,70896-2023,70896-2023-1,25 kg in 1 DRUM (70896-2023-1)
70896-2025_3ab6365f-0fa2-3b54-e054-00144ff88e88,70896-2025,70896-2025-1,25 kg in 1 DRUM (70896-2025-1)
70896-2026_3ab6365f-0fa2-3b54-e054-00144ff88e88,70896-2026,70896-2026-1,25 kg in 1 DRUM (70896-2026-1)
70896-2027_3ab6365f-0fa2-3b54-e054-00144ff88e88,70896-2027,70896-2027-1,25 kg in 1 DRUM (70896-2027-1)
70902-001_21e492ca-a446-7eb0-b068-5b6fa24aab4f,70902-001,70902-001-01,25 kg in 1 DRUM (70902-001-01)
70902-001_21e492ca-a446-7eb0-b068-5b6fa24aab4f,70902-001,70902-001-02,25 kg in 1 BAG (70902-001-02)
70910-0001_3e4aabef-a162-68f0-e054-00144ff8d46c,70910-0001,70910-0001-2,25 kg in 1 DRUM (70910-0001-2)
70923-1601_ec8aa337-fef0-4c75-aaa1-b08ad9304138,70923-1601,70923-1601-1,25 kg in 1 DRUM (70923-1601-1)
70948-001_3c15cad3-cf3d-5e8b-e054-00144ff88e88,70948-001,70948-001-00,40 kg in 1 DRUM (70948-001-00)
70966-0001_1c6f7f46-43e1-4d6a-8c71-0212764ef3ac,70966-0001,70966-0001-1,25 kg in 1 DRUM (70966-0001-1)
70966-0002_a11cfd79-4570-41f6-8d74-011b522c6b89,70966-0002,70966-0002-1,25 kg in 1 DRUM (70966-0002-1)
70966-0003_ffa920e1-d82b-4963-9f94-26cc3c543102,70966-0003,70966-0003-1,25 kg in 1 DRUM (70966-0003-1)
70966-0004_a59143ea-b93c-4b3f-81f7-8a389a789cbe,70966-0004,70966-0004-1,25 kg in 1 DRUM (70966-0004-1)
70966-0005_164f7aff-8ecf-4171-8606-5ead1ef1b415,70966-0005,70966-0005-1,25 kg in 1 DRUM (70966-0005-1)
70966-0007_262d52a1-8937-4e65-bcbb-8f00450f710b,70966-0007,70966-0007-1,25 kg in 1 DRUM (70966-0007-1)
70966-0008_45d094df-afc5-4fcc-9c4a-68d2bbd6ce18,70966-0008,70966-0008-1,25 kg in 1 DRUM (70966-0008-1)
70979-101_4bcc6ec1-c930-5be8-e054-00144ff88e88,70979-101,70979-101-01,20 kg in 1 BAG (70979-101-01)
70979-102_4bcc6ec1-c932-5be8-e054-00144ff88e88,70979-102,70979-102-01,20 kg in 1 BAG (70979-102-01)
70979-103_4bcc3007-30b0-5dad-e054-00144ff88e88,70979-103,70979-103-01,20 kg in 1 BAG (70979-103-01)
70979-104_4bcc6ec1-c936-5be8-e054-00144ff88e88,70979-104,70979-104-01,20 kg in 1 BAG (70979-104-01)
70979-201_4bcc6ec1-c934-5be8-e054-00144ff88e88,70979-201,70979-201-02,20 kg in 1 BAG (70979-201-02)
70997-742_49f2337e-f65a-41f0-a7c9-20a94e3525a6,70997-742,70997-742-25,25 kg in 1 DRUM (70997-742-25)
70999-801_aedd5e9c-26e8-4757-9012-b24c2c958517,70999-801,70999-801-01,"1 BAG in 1 BOTTLE, PLASTIC (70999-801-01)  > 100 g in 1 BAG"
70999-801_aedd5e9c-26e8-4757-9012-b24c2c958517,70999-801,70999-801-05,"1 BAG in 1 BOTTLE, PLASTIC (70999-801-05)  > 500 g in 1 BAG"
70999-801_aedd5e9c-26e8-4757-9012-b24c2c958517,70999-801,70999-801-10,"1 BAG in 1 BOTTLE, PLASTIC (70999-801-10)  > 1000 g in 1 BAG"
70999-801_aedd5e9c-26e8-4757-9012-b24c2c958517,70999-801,70999-801-50,"1 BAG in 1 BOTTLE, PLASTIC (70999-801-50)  > 5000 g in 1 BAG"
70999-801_aedd5e9c-26e8-4757-9012-b24c2c958517,70999-801,70999-801-63,"1 BAG in 1 BOTTLE, PLASTIC (70999-801-63)  > 25 g in 1 BAG"
70999-803_9c2b1b9e-fdab-4dd4-b8ca-bb2883884dab,70999-803,70999-803-01,"1 BAG in 1 BOTTLE, PLASTIC (70999-803-01)  > 100 g in 1 BAG"
70999-803_9c2b1b9e-fdab-4dd4-b8ca-bb2883884dab,70999-803,70999-803-05,"1 BAG in 1 BOTTLE, PLASTIC (70999-803-05)  > 500 g in 1 BAG"
70999-803_9c2b1b9e-fdab-4dd4-b8ca-bb2883884dab,70999-803,70999-803-10,"1 BAG in 1 BOTTLE, PLASTIC (70999-803-10)  > 1000 g in 1 BAG"
70999-803_9c2b1b9e-fdab-4dd4-b8ca-bb2883884dab,70999-803,70999-803-63,"1 BAG in 1 BOTTLE, PLASTIC (70999-803-63)  > 25 g in 1 BAG"
70999-804_decc5918-3059-4a45-a3b4-c1a41615bbc5,70999-804,70999-804-61,"1 VIAL, GLASS in 1 BOX (70999-804-61)  > 1 g in 1 VIAL, GLASS"
70999-805_25e4ff18-af94-4e35-8724-aa34f30c095b,70999-805,70999-805-72,"1 VIAL, MULTI-DOSE in 1 BOX (70999-805-72)  > 586 mg in 1 VIAL, MULTI-DOSE"
70999-806_983243db-6380-457c-9212-cbba26d7626c,70999-806,70999-806-01,"1 BAG in 1 BOTTLE, PLASTIC (70999-806-01)  > 100 g in 1 BAG"
70999-806_983243db-6380-457c-9212-cbba26d7626c,70999-806,70999-806-62,"1 BAG in 1 BOTTLE, PLASTIC (70999-806-62)  > 5 g in 1 BAG"
70999-806_983243db-6380-457c-9212-cbba26d7626c,70999-806,70999-806-63,"1 BAG in 1 BOTTLE, PLASTIC (70999-806-63)  > 25 g in 1 BAG"
70999-807_cac12a74-adf0-4846-963b-ec30916a23a6,70999-807,70999-807-01,"1 BAG in 1 BOTTLE, PLASTIC (70999-807-01)  > 100 g in 1 BAG"
70999-807_cac12a74-adf0-4846-963b-ec30916a23a6,70999-807,70999-807-05,"1 BAG in 1 BOTTLE, PLASTIC (70999-807-05)  > 500 g in 1 BAG"
70999-807_cac12a74-adf0-4846-963b-ec30916a23a6,70999-807,70999-807-10,"1 BAG in 1 BOTTLE, PLASTIC (70999-807-10)  > 1000 g in 1 BAG"
70999-807_cac12a74-adf0-4846-963b-ec30916a23a6,70999-807,70999-807-62,"1 BAG in 1 BOTTLE, PLASTIC (70999-807-62)  > 5 g in 1 BAG"
70999-807_cac12a74-adf0-4846-963b-ec30916a23a6,70999-807,70999-807-63,"1 BAG in 1 BOTTLE, PLASTIC (70999-807-63)  > 25 g in 1 BAG"
70999-808_f1e7800e-6433-4af0-9637-57e377e1294c,70999-808,70999-808-01,"1 BAG in 1 BOTTLE, PLASTIC (70999-808-01)  > 100 g in 1 BAG"
70999-808_f1e7800e-6433-4af0-9637-57e377e1294c,70999-808,70999-808-05,"1 BAG in 1 BOTTLE, PLASTIC (70999-808-05)  > 500 g in 1 BAG"
70999-808_f1e7800e-6433-4af0-9637-57e377e1294c,70999-808,70999-808-10,"1 BAG in 1 BOTTLE, PLASTIC (70999-808-10)  > 1000 g in 1 BAG"
71001-123_3df7610f-3683-418b-e054-00144ff88e88,71001-123,71001-123-01,25 kg in 1 DRUM (71001-123-01)
71010-000_48f9d334-0e02-167e-e054-00144ff8d46c,71010-000,71010-000-01,20 kg in 1 BOX (71010-000-01)
71010-001_4790a99b-f316-636e-e054-00144ff8d46c,71010-001,71010-001-05,5 kg in 1 BOX (71010-001-05)
71010-002_48f9c5c1-fa44-1388-e054-00144ff8d46c,71010-002,71010-002-01,1 kg in 1 BOX (71010-002-01)
71010-003_48954982-f7f8-1cb7-e054-00144ff8d46c,71010-003,71010-003-00,20 kg in 1 BOX (71010-003-00)
71010-004_48954982-f7fa-1cb7-e054-00144ff8d46c,71010-004,71010-004-00,5 kg in 1 BOX (71010-004-00)
71010-005_48951c96-6588-2994-e054-00144ff8d46c,71010-005,71010-005-00,1 kg in 1 BOX (71010-005-00)
71032-001_06d1fd58-8089-42f5-9a49-b88984094091,71032-001,71032-001-01,214 kg in 1 DRUM (71032-001-01)
71052-000_5047ac79-c6f3-370f-e054-00144ff88e88,71052-000,71052-000-20,1000 g in 1 BOTTLE (71052-000-20)
71052-006_5498adaf-12b4-29e5-e054-00144ff8d46c,71052-006,71052-006-08,50 g in 1 BOTTLE (71052-006-08)
71052-006_5498adaf-12b4-29e5-e054-00144ff8d46c,71052-006,71052-006-10,100 g in 1 BOTTLE (71052-006-10)
71052-006_5498adaf-12b4-29e5-e054-00144ff8d46c,71052-006,71052-006-15,500 g in 1 BOTTLE (71052-006-15)
71052-010_5498298a-7127-3df2-e054-00144ff88e88,71052-010,71052-010-10,100 g in 1 BOTTLE (71052-010-10)
71052-015_5160c9e0-cae2-66e2-e054-00144ff88e88,71052-015,71052-015-20,1000 g in 1 BOTTLE (71052-015-20)
71052-022_5049e4bc-a1f4-1431-e054-00144ff88e88,71052-022,71052-022-08,50 g in 1 BOTTLE (71052-022-08)
71052-030_4560070a-e172-28a6-e054-00144ff88e88,71052-030,71052-030-20,1 kg in 1 BOTTLE (71052-030-20)
71052-032_4a24b379-fc7b-34fa-e054-00144ff8d46c,71052-032,71052-032-08,50 g in 1 BOTTLE (71052-032-08)
71052-032_4a24b379-fc7b-34fa-e054-00144ff8d46c,71052-032,71052-032-10,100 g in 1 BOTTLE (71052-032-10)
71052-034_504933ad-e3ef-71f0-e054-00144ff88e88,71052-034,71052-034-20,1000 g in 1 BOTTLE (71052-034-20)
71052-039_51778813-0e8e-6b4f-e054-00144ff8d46c,71052-039,71052-039-20,1000 g in 1 BOTTLE (71052-039-20)
71052-043_528e1599-b8c3-190b-e054-00144ff8d46c,71052-043,71052-043-20,1000 g in 1 BOTTLE (71052-043-20)
71052-047_504977a8-0b21-047f-e054-00144ff88e88,71052-047,71052-047-03,10 g in 1 BOTTLE (71052-047-03)
71052-047_504977a8-0b21-047f-e054-00144ff88e88,71052-047,71052-047-08,50 g in 1 BOTTLE (71052-047-08)
71052-051_5498cd1e-76fb-5223-e054-00144ff88e88,71052-051,71052-051-10,100 g in 1 BOTTLE (71052-051-10)
71052-054_4c6d7484-57b4-018e-e054-00144ff8d46c,71052-054,71052-054-01,1 g in 1 BOTTLE (71052-054-01)
71052-054_4c6d7484-57b4-018e-e054-00144ff8d46c,71052-054,71052-054-02,5 g in 1 BOTTLE (71052-054-02)
71052-054_4c6d7484-57b4-018e-e054-00144ff8d46c,71052-054,71052-054-05,25 g in 1 BOTTLE (71052-054-05)
71052-054_4c6d7484-57b4-018e-e054-00144ff8d46c,71052-054,71052-054-08,50 g in 1 BOTTLE (71052-054-08)
71052-054_4c6d7484-57b4-018e-e054-00144ff8d46c,71052-054,71052-054-20,1000 g in 1 BOTTLE (71052-054-20)
71052-055_4a24cb0f-e99b-1d8a-e054-00144ff88e88,71052-055,71052-055-15,500 g in 1 BOTTLE (71052-055-15)
71052-056_4a24b379-fc83-34fa-e054-00144ff8d46c,71052-056,71052-056-01,1 g in 1 BOTTLE (71052-056-01)
71052-057_4a24b379-fc87-34fa-e054-00144ff8d46c,71052-057,71052-057-15,500 g in 1 BOTTLE (71052-057-15)
71052-057_4bf59fe5-1818-389d-e054-00144ff8d46c,71052-057,71052-057-03,10 g in 1 BOTTLE (71052-057-03)
71052-057_4bf59fe5-1818-389d-e054-00144ff8d46c,71052-057,71052-057-05,50 g in 1 BOTTLE (71052-057-05)
71052-057_4bf59fe5-1818-389d-e054-00144ff8d46c,71052-057,71052-057-10,100 g in 1 BOTTLE (71052-057-10)
71052-057_4bf59fe5-1818-389d-e054-00144ff8d46c,71052-057,71052-057-20,1000 g in 1 BOTTLE (71052-057-20)
71052-058_50457d26-4b20-0919-e054-00144ff8d46c,71052-058,71052-058-01,1 g in 1 BOTTLE (71052-058-01)
71052-058_50457d26-4b20-0919-e054-00144ff8d46c,71052-058,71052-058-02,5 g in 1 BOTTLE (71052-058-02)
71052-059_582693bb-4a79-415e-e053-2991aa0a9050,71052-059,71052-059-03,10 g in 1 BOTTLE (71052-059-03)
71052-059_582693bb-4a79-415e-e053-2991aa0a9050,71052-059,71052-059-08,50 g in 1 BOTTLE (71052-059-08)
71052-059_582693bb-4a79-415e-e053-2991aa0a9050,71052-059,71052-059-10,100 g in 1 BOTTLE (71052-059-10)
71052-059_582693bb-4a79-415e-e053-2991aa0a9050,71052-059,71052-059-15,500 g in 1 BOTTLE (71052-059-15)
71052-059_582693bb-4a79-415e-e053-2991aa0a9050,71052-059,71052-059-20,1000 g in 1 BOTTLE (71052-059-20)
71052-061_5048f7cd-d631-33bd-e054-00144ff8d46c,71052-061,71052-061-20,1000 g in 1 BOTTLE (71052-061-20)
71052-062_4d5f1a83-d209-59fe-e054-00144ff8d46c,71052-062,71052-062-10,100 g in 1 BOTTLE (71052-062-10)
71052-062_4d5f1a83-d209-59fe-e054-00144ff8d46c,71052-062,71052-062-15,500 g in 1 BOTTLE (71052-062-15)
71052-065_4ea158be-2c40-3bc8-e054-00144ff8d46c,71052-065,71052-065-08,50 g in 1 BOTTLE (71052-065-08)
71052-065_4ea158be-2c40-3bc8-e054-00144ff8d46c,71052-065,71052-065-15,500 g in 1 BOTTLE (71052-065-15)
71052-065_4ea158be-2c40-3bc8-e054-00144ff8d46c,71052-065,71052-065-20,1000 g in 1 BOTTLE (71052-065-20)
71052-069_528da112-c2ab-0909-e054-00144ff88e88,71052-069,71052-069-10,100 g in 1 BOTTLE (71052-069-10)
71052-105_5160a24e-d2dc-58ce-e054-00144ff8d46c,71052-105,71052-105-10,100 g in 1 BOTTLE (71052-105-10)
71052-108_5177530a-3de1-6053-e054-00144ff8d46c,71052-108,71052-108-10,100 g in 1 BOTTLE (71052-108-10)
71052-111_5045644d-c743-6220-e054-00144ff88e88,71052-111,71052-111-10,100 g in 1 BOTTLE (71052-111-10)
71052-115_4bf59fe5-181b-389d-e054-00144ff8d46c,71052-115,71052-115-20,1 kg in 1 BOTTLE (71052-115-20)
71052-127_528ddb63-10ef-1097-e054-00144ff88e88,71052-127,71052-127-02,5 g in 1 BOTTLE (71052-127-02)
71052-129_5498d86c-63d5-524a-e054-00144ff88e88,71052-129,71052-129-15,500 g in 1 BOTTLE (71052-129-15)
71052-138_4a24cb0f-e9b1-1d8a-e054-00144ff88e88,71052-138,71052-138-01,1 g in 1 BOTTLE (71052-138-01)
71052-143_4a24cb0f-e99d-1d8a-e054-00144ff88e88,71052-143,71052-143-20,1000 g in 1 BOTTLE (71052-143-20)
71052-145_4bf67fb1-a7fe-74a1-e054-00144ff88e88,71052-145,71052-145-20,1 kg in 1 BOTTLE (71052-145-20)
71052-147_5825d1fd-20ee-fda7-e053-2a91aa0a6585,71052-147,71052-147-01,1 g in 1 BOTTLE (71052-147-01)
71052-147_5825d1fd-20ee-fda7-e053-2a91aa0a6585,71052-147,71052-147-02,5 g in 1 BOTTLE (71052-147-02)
71052-155_4c576d5b-9f1d-1657-e054-00144ff8d46c,71052-155,71052-155-04,20 g in 1 BOTTLE (71052-155-04)
71052-155_4c576d5b-9f1d-1657-e054-00144ff8d46c,71052-155,71052-155-10,100 g in 1 BOTTLE (71052-155-10)
71052-173_54984183-1818-3ffe-e054-00144ff88e88,71052-173,71052-173-05,25 g in 1 BOTTLE (71052-173-05)
71052-176_4bf6d1c6-5440-721b-e054-00144ff8d46c,71052-176,71052-176-20,1 kg in 1 BOTTLE (71052-176-20)
71052-186_5160a24e-d2df-58ce-e054-00144ff8d46c,71052-186,71052-186-20,1000 g in 1 BOTTLE (71052-186-20)
71052-187_54997a19-943c-579e-e054-00144ff8d46c,71052-187,71052-187-02,25 g in 1 BOTTLE (71052-187-02)
71052-189_4a24cb0f-e9ab-1d8a-e054-00144ff88e88,71052-189,71052-189-20,1 kg in 1 BOTTLE (71052-189-20)
71052-197_5048cdc6-56b5-6080-e054-00144ff88e88,71052-197,71052-197-03,10 g in 1 BOTTLE (71052-197-03)
71052-199_517646d8-366c-5cf2-e054-00144ff88e88,71052-199,71052-199-10,100 g in 1 BOTTLE (71052-199-10)
71052-202_58263a43-dee8-1353-e053-2a91aa0ade5c,71052-202,71052-202-01,1 g in 1 BOTTLE (71052-202-01)
71052-202_58263a43-dee8-1353-e053-2a91aa0ade5c,71052-202,71052-202-02,5 g in 1 BOTTLE (71052-202-02)
71052-208_5049de40-86e0-628b-e054-00144ff8d46c,71052-208,71052-208-10,100 g in 1 BOTTLE (71052-208-10)
71052-212_50456939-1bd1-4efd-e054-00144ff88e88,71052-212,71052-212-03,10 g in 1 BOTTLE (71052-212-03)
71052-221_5047ac79-c6fd-370f-e054-00144ff88e88,71052-221,71052-221-20,1000 g in 1 BOTTLE (71052-221-20)
71052-223_54997f39-b3f1-60a0-e054-00144ff8d46c,71052-223,71052-223-10,100 g in 1 BOTTLE (71052-223-10)
71052-226_51776307-b909-0ba0-e054-00144ff88e88,71052-226,71052-226-20,1000 g in 1 BOTTLE (71052-226-20)
71052-229_52f5afa5-a3f8-6ace-e054-00144ff8d46c,71052-229,71052-229-15,500 g in 1 BOTTLE (71052-229-15)
71052-229_52f5afa5-a3f8-6ace-e054-00144ff8d46c,71052-229,71052-229-20,1000 g in 1 BOTTLE (71052-229-20)
71052-232_4a24cb0f-e9ad-1d8a-e054-00144ff88e88,71052-232,71052-232-15,500 g in 1 BOTTLE (71052-232-15)
71052-262_51764347-8e14-2fbb-e054-00144ff8d46c,71052-262,71052-262-15,500 g in 1 BOTTLE (71052-262-15)
71052-270_5499c415-3560-6dca-e054-00144ff8d46c,71052-270,71052-270-05,25 g in 1 BOTTLE (71052-270-05)
71052-282_4a24cb0f-e9a3-1d8a-e054-00144ff88e88,71052-282,71052-282-08,50 g in 1 BOTTLE (71052-282-08)
71052-296_51773f00-e893-0732-e054-00144ff88e88,71052-296,71052-296-10,100 g in 1 BOTTLE (71052-296-10)
71052-317_58264e68-23c8-1add-e053-2991aa0ae66a,71052-317,71052-317-20,1000 g in 1 BOTTLE (71052-317-20)
71052-321_5499ffef-c65a-0a5b-e054-00144ff8d46c,71052-321,71052-321-15,500 g in 1 BOTTLE (71052-321-15)
71052-363_549a6cf5-4fa7-0ea1-e054-00144ff88e88,71052-363,71052-363-15,500 g in 1 BOTTLE (71052-363-15)
71052-379_4c492640-f7fa-2410-e054-00144ff8d46c,71052-379,71052-379-10,100 g in 1 BOTTLE (71052-379-10)
71052-391_549aa32f-7109-1ccc-e054-00144ff8d46c,71052-391,71052-391-15,500 g in 1 BOTTLE (71052-391-15)
71052-391_549aa32f-7109-1ccc-e054-00144ff8d46c,71052-391,71052-391-20,1000 g in 1 BOTTLE (71052-391-20)
71052-418_528e5ed7-9d02-044b-e054-00144ff8d46c,71052-418,71052-418-15,500 g in 1 BOTTLE (71052-418-15)
71052-423_51608276-46a3-5a20-e054-00144ff8d46c,71052-423,71052-423-10,100 g in 1 BOTTLE (71052-423-10)
71052-472_4c492640-f7e9-2410-e054-00144ff8d46c,71052-472,71052-472-20,1000 g in 1 BOTTLE (71052-472-20)
71052-602_52f5382c-dc17-55de-e054-00144ff8d46c,71052-602,71052-602-08,50 g in 1 BOTTLE (71052-602-08)
71052-602_52f5382c-dc17-55de-e054-00144ff8d46c,71052-602,71052-602-10,100 g in 1 BOTTLE (71052-602-10)
71052-606_528d6bc3-1c21-1237-e054-00144ff88e88,71052-606,71052-606-10,100 g in 1 BOTTLE (71052-606-10)
71052-608_528ddb63-10eb-1097-e054-00144ff88e88,71052-608,71052-608-15,500 g in 1 BOTTLE (71052-608-15)
71052-612_504a340d-2bf6-70b9-e054-00144ff8d46c,71052-612,71052-612-10,100 g in 1 BOTTLE (71052-612-10)
71052-620_4a24cb0f-e9af-1d8a-e054-00144ff88e88,71052-620,71052-620-01,1 g in 1 BOTTLE (71052-620-01)
71052-623_4bf67fb1-a801-74a1-e054-00144ff88e88,71052-623,71052-623-20,1 kg in 1 BOTTLE (71052-623-20)
71052-810_504977a8-0b15-047f-e054-00144ff88e88,71052-810,71052-810-08,50 g in 1 BOTTLE (71052-810-08)
71052-824_4bf63462-62c3-5346-e054-00144ff8d46c,71052-824,71052-824-01,1 g in 1 VIAL (71052-824-01)
71057-0100_40e0e826-94d2-03fe-e054-00144ff88e88,71057-0100,71057-0100-0,25 kg in 1 DRUM (71057-0100-0)
71071-001_ec056871-4aa6-48ce-a955-802b44484efd,71071-001,71071-001-01,50 CARTON in 1 BOX (71071-001-01)  > .59 mg in 1 CARTON
71082-110_5333b78e-c89f-49f2-ba0d-977840645da6,71082-110,71082-110-10,"1 SYRINGE, GLASS in 1 BLISTER PACK (71082-110-10)  > .05 mL in 1 SYRINGE, GLASS"
71082-110_5333b78e-c89f-49f2-ba0d-977840645da6,71082-110,71082-110-11,"1 SYRINGE, GLASS in 1 BLISTER PACK (71082-110-11)  > .05 mL in 1 SYRINGE, GLASS"
71092-9957_23bdf7a0-d402-4ebc-8509-71513b84a1d4,71092-9957,71092-9957-1,5 g in 1 CONTAINER (71092-9957-1)
71092-9957_23bdf7a0-d402-4ebc-8509-71513b84a1d4,71092-9957,71092-9957-2,25 g in 1 CONTAINER (71092-9957-2)
71092-9957_23bdf7a0-d402-4ebc-8509-71513b84a1d4,71092-9957,71092-9957-3,100 g in 1 CONTAINER (71092-9957-3)
71092-9957_23bdf7a0-d402-4ebc-8509-71513b84a1d4,71092-9957,71092-9957-4,500 g in 1 CONTAINER (71092-9957-4)
71092-9957_23bdf7a0-d402-4ebc-8509-71513b84a1d4,71092-9957,71092-9957-5,1000 g in 1 CONTAINER (71092-9957-5)
71092-9959_7855a7a6-22da-42fc-82f3-a62c33b8b862,71092-9959,71092-9959-1,5 g in 1 CONTAINER (71092-9959-1)
71092-9959_7855a7a6-22da-42fc-82f3-a62c33b8b862,71092-9959,71092-9959-2,25 g in 1 CONTAINER (71092-9959-2)
71092-9959_7855a7a6-22da-42fc-82f3-a62c33b8b862,71092-9959,71092-9959-3,100 g in 1 CONTAINER (71092-9959-3)
71092-9959_7855a7a6-22da-42fc-82f3-a62c33b8b862,71092-9959,71092-9959-4,500 g in 1 CONTAINER (71092-9959-4)
71092-9974_8aa48efd-abf2-4245-883d-5c18ec08cac1,71092-9974,71092-9974-1,1 g in 1 CONTAINER (71092-9974-1)
71092-9974_8aa48efd-abf2-4245-883d-5c18ec08cac1,71092-9974,71092-9974-2,5 g in 1 CONTAINER (71092-9974-2)
71092-9974_8aa48efd-abf2-4245-883d-5c18ec08cac1,71092-9974,71092-9974-3,10 g in 1 CONTAINER (71092-9974-3)
71092-9974_8aa48efd-abf2-4245-883d-5c18ec08cac1,71092-9974,71092-9974-4,25 g in 1 CONTAINER (71092-9974-4)
71092-9974_8aa48efd-abf2-4245-883d-5c18ec08cac1,71092-9974,71092-9974-5,100 g in 1 CONTAINER (71092-9974-5)
71092-9974_8aa48efd-abf2-4245-883d-5c18ec08cac1,71092-9974,71092-9974-6,500 g in 1 CONTAINER (71092-9974-6)
71092-9974_8aa48efd-abf2-4245-883d-5c18ec08cac1,71092-9974,71092-9974-7,1000 g in 1 CONTAINER (71092-9974-7)
71092-9974_8aa48efd-abf2-4245-883d-5c18ec08cac1,71092-9974,71092-9974-8,2500 g in 1 CONTAINER (71092-9974-8)
71092-9974_8aa48efd-abf2-4245-883d-5c18ec08cac1,71092-9974,71092-9974-9,5000 g in 1 CONTAINER (71092-9974-9)
71107-001_45c4536a-8637-749f-e054-00144ff8d46c,71107-001,71107-001-01,100000 POUCH in 1 BOX (71107-001-01)  > 1 OINTMENT in 1 POUCH
71124-0001_5911819e-ff1f-398f-e053-2991aa0a1329,71124-0001,71124-0001-0,1 BAG in 1 DRUM (71124-0001-0)  > 100 kg in 1 BAG
71124-0002_591081b6-cf6e-7837-e053-2a91aa0a1400,71124-0002,71124-0002-0,1 BAG in 1 DRUM (71124-0002-0)  > 100 kg in 1 BAG
71185-512_46308c47-8e1c-34e7-e054-00144ff8d46c,71185-512,71185-512-25,25000 g in 1 BAG (71185-512-25)
71185-515_46345303-ce72-08a5-e054-00144ff8d46c,71185-515,71185-515-25,25000 g in 1 BAG (71185-515-25)
71204-100_4688a881-0ae9-4440-e054-00144ff8d46c,71204-100,71204-100-01,1000 kg in 1 BAG (71204-100-01)
71210-4112_e1380fd6-9e0f-4997-9d98-4ec81f655ad9,71210-4112,71210-4112-5,1700000 TABLET in 1 DRUM (71210-4112-5)
71210-4115_e1380fd6-9e0f-4997-9d98-4ec81f655ad9,71210-4115,71210-4115-5,3150000 TABLET in 1 DRUM (71210-4115-5)
71210-4116_e1380fd6-9e0f-4997-9d98-4ec81f655ad9,71210-4116,71210-4116-5,700000 TABLET in 1 DRUM (71210-4116-5)
71210-4117_e1380fd6-9e0f-4997-9d98-4ec81f655ad9,71210-4117,71210-4117-5,1575000 TABLET in 1 DRUM (71210-4117-5)
71210-4184_8d206de3-3dd3-4d2f-90c3-afb6cbfc90ff,71210-4184,71210-4184-1,100000 TABLET in 1 DRUM (71210-4184-1)
71214-0100_50c45523-1fb3-4b26-e054-00144ff88e88,71214-0100,71214-0100-1,20000 CAPSULE in 1 BAG (71214-0100-1)
71214-0175_50c45523-1fb3-4b26-e054-00144ff88e88,71214-0175,71214-0175-1,10000 CAPSULE in 1 BAG (71214-0175-1)
71214-0225_50c45523-1fb3-4b26-e054-00144ff88e88,71214-0225,71214-0225-1,10000 CAPSULE in 1 BAG (71214-0225-1)
